No	Time	T1/T2	Value	Unit	Judge
186	2018/03/22_15:10:14	T1	296.0	K-T	Fail
187	2018/03/22_15:10:15	T1	296.0	K-T	Fail
188	2018/03/22_15:10:16	T1	296.0	K-T	Fail
189	2018/03/22_15:10:17	T1	296.0	K-T	Fail
190	2018/03/22_15:10:18	T1	296.0	K-T	Fail
191	2018/03/22_15:10:19	T1	296.0	K-T	Fail
192	2018/03/22_15:10:20	T1	296.0	K-T	Fail
193	2018/03/22_15:10:21	T1	296.0	K-T	Fail
194	2018/03/22_15:10:22	T1	296.0	K-T	Fail
195	2018/03/22_15:10:23	T1	296.0	K-T	Fail
196	2018/03/22_15:10:24	T1	296.1	K-T	Fail
197	2018/03/22_15:10:25	T1	296.0	K-T	Fail
198	2018/03/22_15:10:26	T1	296.0	K-T	Fail
199	2018/03/22_15:10:27	T1	296.0	K-T	Fail
200	2018/03/22_15:10:28	T1	296.0	K-T	Fail
201	2018/03/22_15:10:29	T1	296.0	K-T	Fail
202	2018/03/22_15:10:30	T1	296.0	K-T	Fail
203	2018/03/22_15:10:31	T1	296.0	K-T	Fail
204	2018/03/22_15:10:32	T1	296.0	K-T	Fail
205	2018/03/22_15:10:33	T1	296.0	K-T	Fail
206	2018/03/22_15:10:34	T1	296.0	K-T	Fail
207	2018/03/22_15:10:35	T1	296.0	K-T	Fail
208	2018/03/22_15:10:36	T1	296.0	K-T	Fail
209	2018/03/22_15:10:37	T1	296.0	K-T	Fail
210	2018/03/22_15:10:37	T1	296.0	K-T	Fail
211	2018/03/22_15:10:39	T1	296.0	K-T	Fail
212	2018/03/22_15:10:40	T1	296.0	K-T	Fail
213	2018/03/22_15:10:41	T1	296.0	K-T	Fail
214	2018/03/22_15:10:42	T1	296.0	K-T	Fail
215	2018/03/22_15:10:43	T1	296.0	K-T	Fail
216	2018/03/22_15:10:44	T1	296.0	K-T	Fail
217	2018/03/22_15:10:45	T1	296.0	K-T	Fail
218	2018/03/22_15:10:46	T1	296.0	K-T	Fail
219	2018/03/22_15:10:47	T1	296.1	K-T	Fail
