No	Time	T1/T2	Value	Unit	Judge
268	2018/03/19_13:49:31	T1	80.2	K-T	Fail
269	2018/03/19_13:49:32	T1	80.1	K-T	Fail
270	2018/03/19_13:49:33	T1	80.2	K-T	Fail
271	2018/03/19_13:49:34	T1	80.2	K-T	Fail
272	2018/03/19_13:49:35	T1	80.1	K-T	Fail
273	2018/03/19_13:49:36	T1	80.2	K-T	Fail
274	2018/03/19_13:49:37	T1	80.2	K-T	Fail
275	2018/03/19_13:49:38	T1	80.2	K-T	Fail
276	2018/03/19_13:49:39	T1	80.2	K-T	Fail
277	2018/03/19_13:49:40	T1	80.2	K-T	Fail
278	2018/03/19_13:49:41	T1	80.2	K-T	Fail
279	2018/03/19_13:49:42	T1	80.2	K-T	Fail
280	2018/03/19_13:49:43	T1	80.2	K-T	Fail
281	2018/03/19_13:49:44	T1	80.2	K-T	Fail
282	2018/03/19_13:49:45	T1	80.2	K-T	Fail
283	2018/03/19_13:49:46	T1	80.2	K-T	Fail
284	2018/03/19_13:49:47	T1	80.2	K-T	Fail
285	2018/03/19_13:49:48	T1	80.2	K-T	Fail
286	2018/03/19_13:49:49	T1	80.2	K-T	Fail
287	2018/03/19_13:49:50	T1	80.2	K-T	Fail
288	2018/03/19_13:49:51	T1	80.1	K-T	Fail
289	2018/03/19_13:49:52	T1	80.2	K-T	Fail
290	2018/03/19_13:49:53	T1	80.2	K-T	Fail
291	2018/03/19_13:49:54	T1	80.2	K-T	Fail
292	2018/03/19_13:49:55	T1	80.2	K-T	Fail
293	2018/03/19_13:49:56	T1	80.2	K-T	Fail
294	2018/03/19_13:49:57	T1	80.2	K-T	Fail
295	2018/03/19_13:49:58	T1	80.1	K-T	Fail
296	2018/03/19_13:49:59	T1	80.1	K-T	Fail
297	2018/03/19_13:50:00	T1	80.2	K-T	Fail
298	2018/03/19_13:50:01	T1	80.2	K-T	Fail
299	2018/03/19_13:50:02	T1	80.2	K-T	Fail
300	2018/03/19_13:50:03	T1	80.2	K-T	Fail
301	2018/03/19_13:50:04	T1	80.2	K-T	Fail
302	2018/03/19_13:50:05	T1	80.2	K-T	Fail
303	2018/03/19_13:50:06	T1	80.2	K-T	Fail
304	2018/03/19_13:50:07	T1	80.2	K-T	Fail
305	2018/03/19_13:50:08	T1	80.2	K-T	Fail
306	2018/03/19_13:50:09	T1	80.2	K-T	Fail
307	2018/03/19_13:50:10	T1	80.2	K-T	Fail
308	2018/03/19_13:50:11	T1	80.2	K-T	Fail
309	2018/03/19_13:50:12	T1	80.2	K-T	Fail
310	2018/03/19_13:50:13	T1	80.2	K-T	Fail
311	2018/03/19_13:50:14	T1	80.2	K-T	Fail
312	2018/03/19_13:50:15	T1	80.2	K-T	Fail
313	2018/03/19_13:50:16	T1	80.2	K-T	Fail
314	2018/03/19_13:50:17	T1	80.2	K-T	Fail
315	2018/03/19_13:50:18	T1	80.2	K-T	Fail
316	2018/03/19_13:50:19	T1	80.2	K-T	Fail
317	2018/03/19_13:50:20	T1	80.2	K-T	Fail
318	2018/03/19_13:50:21	T1	80.2	K-T	Fail
319	2018/03/19_13:50:22	T1	80.2	K-T	Fail
320	2018/03/19_13:50:23	T1	80.2	K-T	Fail
321	2018/03/19_13:50:24	T1	80.2	K-T	Fail
322	2018/03/19_13:50:25	T1	80.2	K-T	Fail
323	2018/03/19_13:50:26	T1	80.1	K-T	Fail
324	2018/03/19_13:50:27	T1	80.2	K-T	Fail
325	2018/03/19_13:50:28	T1	80.2	K-T	Fail
326	2018/03/19_13:50:29	T1	80.2	K-T	Fail
327	2018/03/19_13:50:30	T1	80.2	K-T	Fail
328	2018/03/19_13:50:31	T1	80.2	K-T	Fail
329	2018/03/19_13:50:32	T1	80.2	K-T	Fail
330	2018/03/19_13:50:33	T1	80.1	K-T	Fail
331	2018/03/19_13:50:34	T1	80.2	K-T	Fail
332	2018/03/19_13:50:35	T1	80.2	K-T	Fail
333	2018/03/19_13:50:36	T1	80.2	K-T	Fail
334	2018/03/19_13:50:37	T1	80.2	K-T	Fail
335	2018/03/19_13:50:38	T1	80.2	K-T	Fail
